year,school,applied,admitted,enrolled,legacy_admitted,legacy_enrolled,not_legacy_enrolled,not_legacy_admitted
2023-2024,CMC,5799,645,321,15,11,310,630
2023-2024,HMC,4792,626,224,15,11,213,611
